Ticker,StartDate,EndDate,InitialCapital,FinalValue,ReturnPct,WinRate,TotalTrades
AAPL,2025-03-10,2025-08-08,100000,107569.46649169923,7.5694664916992185,100.0,1
MSFT,2025-03-10,2025-08-08,100000,114393.86447143556,14.393864471435547,100.0,1
GOOG,2025-03-10,2025-08-08,100000,113232.91088867186,13.232910888671876,100.0,1
AMZN,2025-03-10,2025-08-08,100000,113258.80310058594,13.258803100585936,100.0,1
TSLA,2025-03-10,2025-08-08,100000,144811.17237854004,44.811172378540036,100.0,1
AAPL,2025-03-10,2025-08-08,100000,107569.46649169923,7.5694664916992185,100.0,1
MSFT,2025-03-10,2025-08-08,100000,114393.86447143556,14.393864471435547,100.0,1
GOOG,2025-03-10,2025-08-08,100000,113232.91088867186,13.232910888671876,100.0,1
AMZN,2025-03-10,2025-08-08,100000,113258.80310058594,13.258803100585936,100.0,1
TSLA,2025-03-10,2025-08-08,100000,144811.17237854004,44.811172378540036,100.0,1
RELIANCE.NS,2024-09-05,2025-08-08,100000,94110.56018066406,-5.889439819335938,0.0,2
TCS.NS,2024-09-05,2025-08-08,100000,73258.46826171875,-26.74153173828125,0.0,1
HDFCBANK.NS,2024-09-05,2025-08-08,100000,105053.80517578125,5.05380517578125,100.0,1
INFY.NS,2024-09-05,2025-08-08,100000,77884.08642578125,-22.11591357421875,0.0,1
ICICIBANK.NS,2024-09-05,2025-08-08,100000,105823.994140625,5.823994140625,100.0,1
HINDUNILVR.NS,2024-09-05,2025-08-08,100000,86204.9072265625,-13.795092773437501,0.0,1
SBIN.NS,2024-09-05,2025-08-08,100000,99560.32958984375,-0.43967041015625,0.0,1
BHARTIARTL.NS,2024-09-05,2025-08-08,100000,116764.158203125,16.764158203125,100.0,1
ITC.NS,2024-09-05,2025-08-08,100000,87160.54565429688,-12.839454345703125,0.0,1
LT.NS,2024-09-05,2025-08-08,100000,116399.39038085938,16.399390380859373,100.0,3
KOTAKBANK.NS,2024-09-05,2025-08-08,100000,112206.24572753906,12.206245727539063,50.0,2
AXISBANK.NS,2024-09-05,2025-08-08,100000,89753.56884765625,-10.246431152343751,0.0,2
WIPRO.NS,2024-09-05,2025-08-08,100000,92745.72267150879,-7.254277328491211,0.0,2
ASIANPAINT.NS,2024-09-05,2025-08-08,100000,86320.2578125,-13.679742187499999,50.0,2
MARUTI.NS,2024-09-05,2025-08-08,100000,115001.68359375,15.00168359375,100.0,2
TITAN.NS,2024-09-05,2025-08-08,100000,102079.88769531251,2.0798876953125,100.0,2
BAJFINANCE.NS,2024-09-05,2025-08-08,100000,114659.6908569336,14.659690856933594,50.0,2
HCLTECH.NS,2024-09-05,2025-08-08,100000,85962.9521484375,-14.037047851562502,0.0,1
ULTRACEMCO.NS,2024-09-05,2025-08-08,100000,118188.00683593751,18.1880068359375,100.0,2
NTPC.NS,2024-09-05,2025-08-08,100000,94391.525390625,-5.6084746093749995,50.0,2
RELIANCE.NS,2025-03-10,2025-08-08,100000,111073.61413574219,11.073614135742188,50.0,2
HDFCBANK.NS,2025-03-10,2025-08-08,100000,100000.0,0.0,0,0
TCS.NS,2025-03-10,2025-08-08,100000,87905.4765625,-12.0945234375,0.0,1
RELIANCE.NS,2025-03-10,2025-08-08,100000,111073.61413574219,11.073614135742188,50.0,2
